Wavelength,Intensity L
358.21661,2113
358.53363,2112
358.85062,2124
359.1676,2119
359.48462,2158
359.80161,2116
360.11859,2087
360.43558,2139
360.75256,2127
361.06955,2129
361.38654,2148
361.70352,2178
362.02051,2142
362.33749,2138
362.65448,2180
362.97147,2182
363.28845,2169
363.60541,2164
363.92239,2195
364.23938,2213
364.55634,2216
364.87332,2267
365.19031,2228
365.50726,2245
365.82425,2252
366.1412,2271
366.45816,2339
366.77515,2381
367.0921,2370
367.40906,2414
367.72604,2479
368.043,2534
368.35995,2576
368.67691,2658
368.99387,2733
369.31082,2776
369.62778,2828
369.94473,2912
370.26169,2985
370.57864,3053
370.8956,3103
371.21255,3177
371.52948,3301
371.84644,3358
372.16339,3423
372.48032,3475
372.79727,3530
373.1142,3583
373.43115,3660
373.74808,3673
374.06503,3748
374.38196,3754
374.69891,3804
375.01584,3872
375.33276,3881
375.64969,3949
375.96664,3981
376.28357,4069
376.60049,4106
376.91742,4172
377.23434,4255
377.55127,4295
377.86819,4421
378.18512,4460
378.50201,4590
378.81894,4722
379.13586,4828
379.45279,4982
379.76968,5099
380.08661,5240
380.4035,5463
380.72043,5539
381.03732,5655
381.35425,5802
381.67114,5953
381.98807,6051
382.30496,6187
382.62186,6218
382.93875,6283
383.25568,6330
383.57257,6354
383.88947,6337
384.20636,6280
384.52325,6210
384.84015,6170
385.15704,6051
385.47394,5908
385.79083,5775
386.1077,5662
386.42459,5438
386.74149,5388
387.05835,5172
387.37524,5085
387.69214,4886
388.009,4769
388.3259,4629
388.64276,4491
388.95963,4412
389.27652,4266
389.59338,4145
389.91025,4077
390.22711,3949
390.54401,3899
390.86087,3863
391.17773,3780
391.4946,3680
391.81146,3636
392.12833,3630
392.44519,3563
392.76202,3514
393.07889,3487
393.39575,3445
393.71262,3436
394.02945,3385
394.34631,3401
394.66315,3329
394.98001,3291
395.29684,3328
395.61371,3309
395.93054,3327
396.24738,3322
396.56424,3275
396.88107,3294
397.19791,3280
397.51474,3284
397.83157,3261
398.14841,3309
398.46524,3308
398.78207,3270
399.09891,3315
399.41574,3302
399.73257,3284
400.04941,3331
400.36621,3334
400.68304,3374
400.99988,3348
401.31668,3363
401.63351,3357
401.95032,3386
402.26715,3419
402.58395,3418
402.90076,3445
403.21756,3474
403.53439,3477
403.8512,3491
404.168,3496
404.4848,3516
404.80161,3539
405.11841,3594
405.43521,3572
405.75201,3589
406.06882,3605
406.38559,3613
406.70239,3681
407.0192,3631
407.336,3659
407.65277,3664
407.96957,3672
408.28635,3710
408.60315,3704
408.91992,3721
409.23669,3755
409.5535,3729
409.87027,3777
410.18704,3817
410.50381,3812
410.82059,3836
411.13736,3839
411.45413,3862
411.7709,3811
412.08768,3853
412.40445,3860
412.72122,3912
413.03796,3924
413.35474,3915
413.67151,3969
413.98825,3969
414.30502,4014
414.62177,3991
414.93854,3998
415.25528,4028
415.57202,4049
415.88879,4090
416.20554,4060
416.52228,4102
416.83902,4106
417.15576,4137
417.4725,4190
417.78925,4146
418.10599,4249
418.42273,4208
418.73947,4238
419.05618,4251
419.37292,4255
419.68967,4263
420.00638,4327
420.32312,4342
420.63983,4317
420.95657,4414
421.27328,4453
421.59,4445
421.90674,4443
422.22345,4439
422.54016,4533
422.85687,4502
423.17358,4554
423.4903,4568
423.80701,4644
424.12372,4598
424.44043,4595
424.75714,4713
425.07382,4664
425.39053,4672
425.70724,4720
426.02393,4739
426.34064,4758
426.65732,4777
426.97403,4811
427.29071,4836
427.60739,4867
427.92407,4896
428.24078,4944
428.55746,4940
428.87415,5002
429.19083,5014
429.50751,5042
429.82419,5127
430.14087,5157
430.45752,5173
430.7742,5207
431.09088,5292
431.40753,5324
431.72421,5345
432.04089,5423
432.35754,5440
432.67419,5528
432.99088,5595
433.30753,5623
433.62418,5693
433.94086,5750
434.25751,5813
434.57416,5979
434.89081,5995
435.20746,6049
435.52411,6184
435.84076,6225
436.15738,6337
436.47403,6406
436.79068,6461
437.1073,6580
437.42395,6675
437.7406,6745
438.05722,6869
438.37384,6973
438.69049,7052
439.00711,7204
439.32373,7308
439.64035,7396
439.957,7566
440.27362,7620
440.59024,7762
440.90686,7929
441.22345,8039
441.54007,8161
441.85669,8249
442.17331,8396
442.4899,8522
442.80652,8674
443.12311,8823
443.43973,8979
443.75632,9059
444.07294,9232
444.38953,9350
444.70612,9485
445.02271,9663
445.33932,9791
445.65591,9882
445.9725,10028
446.28909,10216
446.60568,10354
446.92224,10478
447.23883,10646
447.55542,10737
447.87198,10941
448.18857,11075
448.50516,11235
448.82172,11475
449.13831,11656
449.45486,11835
449.77142,11996
450.08798,12108
450.40457,12286
450.72113,12538
451.03769,12773
451.35425,12934
451.67081,13094
451.98737,13328
452.30389,13529
452.62045,13723
452.93701,13965
453.25354,14179
453.5701,14532
453.88666,14700
454.20319,14933
454.51971,15228
454.83627,15429
455.1528,15780
455.46933,16024
455.78586,16314
456.10239,16596
456.41891,16900
456.73544,17251
457.05197,17453
457.3685,17787
457.68503,18082
458.00156,18456
458.31805,18685
458.63458,19098
458.95108,19321
459.26761,19683
459.58411,19985
459.90063,20322
460.21713,20488
460.53363,20822
460.85013,21060
461.16663,21560
461.48312,21716
461.79962,22028
462.11612,22412
462.43262,22643
462.74911,22942
463.06561,23159
463.38208,23566
463.69858,23785
464.01505,24143
464.33154,24390
464.64801,24550
464.96451,24869
465.28098,25049
465.59744,25280
465.91391,25413
466.23038,25653
466.54684,25693
466.86331,25963
467.17978,26119
467.49625,26220
467.81271,26424
468.12915,26636
468.44562,26836
468.76208,27062
469.07852,27186
469.39499,27437
469.71143,27576
470.02786,27762
470.34433,27790
470.66077,27993
470.9772,28195
471.29364,28182
471.61008,28390
471.92651,28412
472.24295,28687
472.55936,28689
472.87579,28962
473.19223,29020
473.50864,29213
473.82507,29336
474.14148,29586
474.45792,29717
474.77432,29816
475.09073,29975
475.40717,30058
475.72357,30342
476.03998,30449
476.35638,30635
476.67279,30894
476.9892,30939
477.30557,31223
477.62198,31537
477.93839,31688
478.25476,31818
478.57117,32027
478.88754,32254
479.20395,32439
479.52032,32599
479.83673,32785
480.15311,33045
480.46948,33101
480.78586,33570
481.10223,33690
481.41861,33884
481.73499,34110
482.05136,34331
482.36771,34552
482.68408,34810
483.00046,35139
483.3168,35280
483.63315,35456
483.94952,35690
484.26587,35858
484.58221,36150
484.89859,36262
485.21494,36477
485.53128,36577
485.84763,36768
486.16397,37020
486.48032,38220
486.79663,37157
487.11298,37052
487.42932,37182
487.74564,37323
488.06198,37369
488.3783,37387
488.69464,37533
489.01096,37572
489.32727,37458
489.64359,37566
489.9599,37455
490.27621,37708
490.59253,37737
490.90884,37546
491.22516,37476
491.54147,37531
491.85776,37585
492.17407,37536
492.49036,37466
492.80667,37365
493.12296,37324
493.43927,37360
493.75555,37191
494.07184,37144
494.38812,37154
494.70441,36984
495.02069,36888
495.33698,36759
495.65326,36648
495.96954,36590
496.2858,36533
496.60208,36596
496.91833,36311
497.23462,36288
497.55087,36123
497.86716,36147
498.18341,35810
498.49966,35898
498.81592,35851
499.13217,35725
499.44843,35548
499.76468,35413
500.08093,35335
500.39719,35348
500.71341,35203
501.02966,35126
501.34592,34936
501.66214,34917
501.97836,34920
502.29462,34676
502.61084,34636
502.92706,34544
503.24329,34317
503.55951,34332
503.87573,34154
504.19196,34154
504.50818,34073
504.8244,34101
505.14059,33945
505.45682,33912
505.77301,33781
506.08923,33768
506.40543,33660
506.72165,33492
507.03784,33529
507.35403,33325
507.67023,33444
507.98642,33309
508.30261,33403
508.6188,33255
508.935,33075
509.25116,33138
509.56735,33159
509.88351,33047
510.19971,32961
510.51587,32996
510.83206,32992
511.14822,32903
511.46439,32855
511.78055,32827
512.09674,32794
512.4129,32652
512.72906,32677
513.04517,32622
513.36133,32643
513.67749,32648
513.99365,32606
514.30981,32540
514.62592,32451
514.94208,32634
515.25824,32602
515.57434,32619
515.8905,32648
516.2066,32587
516.52277,32570
516.83887,32681
517.15503,32570
517.47113,32582
517.78729,32731
518.10339,32532
518.41949,32718
518.7356,32732
519.0517,32790
519.36786,32882
519.68396,32955
520.00006,32727
